iter	Logloss
0	0.5873600854
1	0.5083358112
2	0.457975135
3	0.4051309223
4	0.3648351871
5	0.3254832299
6	0.2961060939
7	0.2731839496
8	0.2478638123
9	0.2278659877
10	0.2161399023
11	0.2077019524
12	0.192495195
13	0.179150705
14	0.1718933597
15	0.1615531296
16	0.1572665754
17	0.1512210581
18	0.143006419
19	0.1380537925
20	0.133214714
21	0.1284319658
22	0.1251979045
23	0.1185855237
24	0.1150299051
25	0.1115051355
26	0.1089476256
27	0.1057065497
28	0.1005692566
29	0.09850567375
30	0.09692702531
31	0.09492468082
32	0.09351582517
33	0.08975330933
34	0.08477837737
35	0.08229174009
36	0.07996502604
37	0.07813056032
38	0.07547660031
39	0.07405200469
40	0.07312268349
41	0.07191959159
42	0.07060868839
43	0.06901942188
44	0.06735421965
45	0.06586156897
46	0.06489540533
47	0.06331276309
48	0.06021240063
49	0.05857576452
50	0.05682593321
51	0.05634552729
52	0.05518556527
53	0.05375617388
54	0.05326685541
55	0.05166868706
56	0.05079373398
57	0.05019539056
58	0.04951937915
59	0.04831056655
60	0.04788060446
61	0.04691752572
62	0.04575746211
63	0.0440633195
64	0.04363170001
65	0.04287349752
66	0.04133063559
67	0.04057815113
68	0.04020792233
69	0.03989364956
70	0.03941150336
71	0.03875140302
72	0.03801656989
73	0.03784792926
74	0.03716042832
75	0.03605214783
76	0.03521666497
77	0.03478463379
78	0.03410938693
79	0.03288165856
80	0.03247519415
81	0.03203491339
82	0.03155636537
83	0.03097839997
84	0.03068524303
85	0.03009350783
86	0.02927615213
87	0.02860485096
88	0.02804024368
89	0.02739923553
90	0.02696894731
91	0.02626372553
92	0.02590267125
93	0.02536587625
94	0.02497621308
95	0.02404928441
96	0.02381230537
97	0.02360587865
98	0.02327052479
99	0.02289702396
